,accountability_score,administrative_expenses,charity_name,charity_url,city,cn_advisory,compensation_leader_compensation,compensation_leader_expense_percent,compensation_leader_title,excess_or_deficit_for_year,financial_score,fundraising_expenses,net_assets,organization_type,other_revenue,overall_score,payments_to_affiliates,program_expenses,state,total_contributions,category,organization_type2,State_name_c,State_name,State_abv,State
690,85,250559,The Children's Museum of Atlanta,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7212,Atlanta,,142099,3.88,Executive Director,-912927,88.18,435622,9011025,"Arts, Culture, Humanities : Museums ",-33508,86.49,0,2967446,GA,1721692.0,"Arts, Culture, Humanities ", Museums ,GEORGIA,Georgia,GA,13.0
691,70,118581,Children's Lifeline,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11024,Hamilton,,,78564.0,87.73,24810,767696.0,International : Development and Relief Services ,-124918,77.08,0,1616223.0,GA,1963096,,,,,,,,
692,96,1095153,Children's Literacy Initiative,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5097,Philadelphia,,214677,1.66,Executive Director,1543621,86.24,855373,7017227,Education : Early Childhood Programs and Services ,-25330,89.86,0,10944435,PA,5762156.0,Education , Early Childhood Programs and Services ,PENNSYLVANIA,Pennsylvania,PA,42.0
693,67,22087,Children's Leukemia Research Association,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12735,Garden City,,Executive Director,175462.0,0,1864999,3223426.0,Health : Medical Research ,69903,25.53,0,475470.0,NY,2468115,,,,,,,,
694,100,1169771,The Children's Inn at NIH,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8971,Bethesda,,179488,2.39,Chief Executive Officer,-7850,87.92,1230653,55643748,Health : Patient and Family Support ,1312593,91.45,0,5091663,MD,4974294.0,Health , Patient and Family Support ,MARYLAND,Maryland,MD,24.0
695,89,564800,Children's Hospital Guild Association,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8079,Seattle,,152816,0.96,Executive Director,0,85.0,703989,44137,"Health : Treatment and Prevention Services , ",0,86.84,0,14487237,WA,15756026.0,Health ," Treatment and Prevention Services , ",WASHINGTON,Washington,WA,53.0
696,86,3403079,Children's Hospital of Wisconsin Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5319,Milwaukee,,254029,0.92,President,14733975,85.71,4288011,599870804,"Health : Treatment and Prevention Services , ",20986589,85.85,0,19815670,WI,21254146.0,Health ," Treatment and Prevention Services , ",WISCONSIN,Wisconsin,WI,55.0
697,100,1510947,Children's Hunger Fund,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3487,Sylmar,,149559,0.33,President,3781346,92.5,796783,15512608,International : Humanitarian Relief Supplies ,-687613,94.69,0,42038554,CA,48769884.0,International , Humanitarian Relief Supplies ,CALIFORNIA,California,CA,6.0
698,100,167500,Children's Hospital Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6335,Oklahoma City,,148132,3.06,Executive Director,2128550,95.0,583467,7689910,"Health : Treatment and Prevention Services , ",1196113,96.46,303514,4074283,OK,5757687.0,Health ," Treatment and Prevention Services , ",OKLAHOMA,Oklahoma,OK,40.0
699,100,616040,Children's HopeChest,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8290,Palmer Lake,,135714,1.9,CEO,-208147,85.51,690687,2006172,International : Development and Relief Services ,60764,89.75,0,5822517,CO,6856748.0,International , Development and Relief Services ,COLORADO,Colorado,CO,7.0
700,85,729347,"Children's Home, Inc.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14651,Paragould,,92030,2.72,Executive Director,396886,84.69,128555,5474158,Human Services : Children's and Family Services ,161818,84.84,0,2518605,AR,3599418.0,Human Services , Children's and Family Services ,ARKANSAS,Arkansas,AR,5.0
701,97,17059558,Children's Home Society of Florida,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3485,Orlando,,264123,0.21,"President, CEO",-5599486,81.24,4710927,46340077,Human Services : Children's and Family Services ,1271330,86.56,0,104001754,FL,106977328.0,Human Services , Children's and Family Services ,FLORIDA,Florida,FL,12.0
702,100,108602,Children's HeartLink,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6557,Minneapolis,,24131,1.41,President,57798,89.92,215415,1700952,International : Development and Relief Services ,-110477,92.87,0,1379472,MN,1871764.0,International , Development and Relief Services ,MINNESOTA,Minnesota,MN,27.0
